source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,g,bp,rp,bp_rp,radial_velocity,radial_velocity_error,ruwe,phi1,phi2,pm_phi1,pm_phi2
1570204824686788096,193.1980430215769,54.18397804558147,0.2108833094997838,0.4372705,-8.761502181034551,0.38836238,-4.332183421337345,0.44059372,20.22364,20.49249,19.72314,0.76935005,,,0.9792896,35.94520687256342,-4.620179400487153,-9.690409213322704,-1.2758146192663828
1562541778396429952,204.1170386225062,55.71590510734128,0.4799076827774289,1.6281946,-10.388123257325466,1.6260833,-2.0322492565084644,2.99234,20.805721,20.819002,19.939972,0.8790302,,,1.1817173,42.41393370932029,-4.663638125104052,-10.58020971420357,-0.3198503610094794
1563826076697545216,199.4970370451724,55.13464873526374,0.1145738571763652,0.3011716,-9.752196773476529,0.2682983,-2.955770421346082,0.31850067,19.745205,20.069925,19.278181,0.79174423,,,1.0706928,39.72057602824678,-4.717247371575542,-10.171291069104711,-0.6218992521793336
1563794293938830080,200.36634560750548,55.19031541886199,-0.0928579898119943,0.50781024,-8.38133746344651,0.3972206,-4.6449950267928575,0.50579375,20.1345,20.431175,19.585184,0.84599113,,,1.026979,40.21868337020312,-4.77458937065948,-9.193131386790256,-2.7035406008259377
1563866140152036992,199.4619480730738,55.66966873896261,-0.177530718298819,0.6313561,-10.457514983060625,0.65045136,-5.1155871329148805,0.9891443,20.60253,20.975138,20.086317,0.88882065,,,1.0271552,39.82525190696834,-4.192125969834321,-11.357600558513536,-2.5561222366379117
1562669493543595648,205.20393001684704,56.76654172884371,-0.1645005654610511,0.3024211,-10.944868867324058,0.31568873,-4.033249683466189,0.33144394,19.86,20.029383,19.387775,0.6416073,,,1.0198213,43.174515385828514,-3.718564126084665,-11.415736682219316,-2.3954568529472327
1569301266646674560,187.7075466053728,52.69672162830907,0.1119311848171142,0.1709776,-7.482034505695956,0.13749082,-5.637472635699387,0.15835094,18.869057,19.132717,18.475416,0.65730095,,,1.0379776,32.347367507909304,-4.825269731228999,-9.11010550178711,-2.1835557718987983
1569403727386580864,188.8189874238156,53.346859608331776,0.1234752225609765,0.10143805,-9.78897677247119,0.08684962,-8.62648470162653,0.102308005,18.087833,18.332253,17.690119,0.6421337,,,1.0104111,33.21988890036935,-4.488641498009416,-12.349422262890112,-4.210946963832613
1563796527321830784,200.63448663105635,55.201950468741785,0.0917783962515357,0.6570769,-10.977511132374364,0.54804796,-4.32207737170169,0.8019598,20.486618,20.62126,19.918451,0.7028084,,,1.0213557,40.37115510324348,-4.796332622254697,-11.64871689846812,-1.86909017645542
1570266023676323328,194.2768868325806,54.32495930477996,0.1277211437721481,0.3380093,-7.86006355589965,0.287046,-7.457753880774428,0.30859864,19.844,20.199179,19.402445,0.79673386,,,1.0054781,36.5899104327352,-4.68474248329032,-9.77032855165725,-4.683948338918673
1570356080550567680,192.70140873541288,53.84274507833621,0.3915628087121752,0.3515986,-5.522072969945968,0.38118568,-8.272060878201072,0.3361799,19.977547,20.29595,19.416357,0.8795929,,,1.0700241,35.556759169304044,-4.847629320001155,-7.939926212587274,-5.98981241749206
1562720689553795840,204.86719031460493,56.87662332804396,-0.0466652129310007,0.10173868,-13.567654143776412,0.1012083,-6.625299131831054,0.1074867,18.319733,18.574484,17.95287,0.62161446,,,1.0940213,43.0082514277834,-3.5823828397922863,-14.411387955402304,-4.504189688529998
1565203249370618752,202.95860977224697,55.90379094566836,0.2073371487882077,0.9107574,-7.099924602524522,1.0295225,-4.265065404262182,0.95556074,20.81951,21.058947,20.272123,0.7868233,,,0.9942727,41.80276344799508,-4.36726702406262,-7.750351052532982,-2.920919517321224
1565229225333338112,202.1834296144524,56.010662271933526,-0.3752979466552942,0.28955257,-9.460350167296768,0.25297105,-5.62678872784303,0.33306232,19.7934,20.080269,19.397747,0.6825218,,,1.0408895,41.39499991250007,-4.181825067800434,-10.361254849009008,-3.71528930630452
1564388923571265152,195.58433138460944,55.136267058358754,-0.2831906429678889,0.9505774,-9.31759296574969,1.0235146,-4.441426974294261,1.2887475,20.732792,21.064054,20.2013,0.8627548,,,1.0911142,37.55491017118051,-4.134860915582411,-10.20200298940961,-1.569377981065792
1570477194333324288,191.56945185336804,54.71737277859294,-2.9789395606940827,1.3308926,-9.298167921224325,1.7918665,-6.989540759042966,1.6479974,20.870047,20.72615,19.746748,0.97940254,,,1.1206943,35.22875807875704,-3.8013611882396487,-11.139029464283052,-3.35136230620356
1570501830264305280,193.10319707374293,54.70555194465183,-0.4191417454706193,0.50723076,-8.724011715927714,0.47677281,-5.943258878168262,0.4757314,20.263596,20.492308,19.767334,0.7249737,,,1.0410867,36.0618156049271,-4.108747934942689,-10.177730246300792,-2.80080587440542
1575177262943810944,183.53384821690847,56.55704046177202,0.2159734098930466,0.16919546,-11.42765277553079,0.17093708,-7.338869162551746,0.15863603,18.791267,18.949875,18.347776,0.60209846,,,0.96902317,31.80596654751405,-0.3052709996464626,-13.51266082024146,-1.363175007202324
1564525782704920064,197.83269047933305,55.28533413746708,-0.2156365987535218,0.24923946,-5.946719640625289,0.25668132,-7.192972033523789,0.26874143,19.356497,19.6276,18.941977,0.68562317,,,1.0708988,38.83339359137288,-4.340063115338666,-7.586792232371115,-5.435338515868837
1564247086570992512,195.3624891672221,54.30667328244568,0.0168037761326074,0.19716436,-8.956307611159456,0.18678555,-3.718804698151539,0.2146205,19.156404,19.464474,18.70848,0.7559929,,,1.013073,37.19074737002095,-4.891728476431083,-9.651415301675495,-0.9461168444176666
1570750732209666688,189.7640311496976,53.99688465062783,0.2133697194890138,0.17942123,-7.874336201629563,0.1421489,-5.930402695642464,0.16287833,18.9173,19.175575,18.550373,0.6252022,,,1.0379008,33.98564395296349,-4.097683692751784,-9.510893857581507,-2.591861257589932
1575342773802974336,183.1339935901292,57.664817484999794,0.7880833952889921,0.32361403,-5.683741504612195,0.3384852,-6.095801398515083,0.3539045,19.739887,20.07928,19.2635,0.81578064,,,1.0909694,32.117627274049106,0.7797054925868226,-7.845779887563599,-2.8120188721436903
1564833749040186112,196.70149494635075,56.08632980991747,-0.2847788153090338,0.36470583,-7.006139557480112,0.33391392,-4.11841422330766,0.35496378,19.73542,20.014606,19.36064,0.6539669,,,0.9946354,38.42841759734054,-3.3993567580912782,-7.861401503623991,-2.060508095700896
1564859965520641024,196.0005238015111,56.60221411786241,0.0191375203104017,0.552408,-8.698711210140488,0.6160597,-6.403376807055274,0.69708115,20.523352,20.892542,20.009693,0.88284874,,,0.95605594,38.19746852743248,-2.7961467868101253,-10.149972387478826,-3.6944379523784874
1564191595594361472,195.93677988252705,54.33858884779861,0.1861931739074082,0.09666425,-8.758941462522298,0.086715296,-4.557401668612812,0.10612665,17.994928,18.251,17.618706,0.6322937,,,1.0263476,37.52194824895936,-4.957423404230038,-9.691147786700569,-1.88960844867284
1564365524589689984,196.619129923922,55.33652446456428,0.7822119491235386,0.80243635,-9.499180635538783,0.7085344,-3.9896997654183,0.9196953,20.568302,20.721409,19.95197,0.7694397,,,1.0429218,38.17903710793515,-4.108185111908226,-10.227591315185744,-1.2443925643907645
1564321784643016320,196.2864501752594,54.7836990132572,0.2271144078196589,0.25877434,-6.887588569714979,0.24626304,-5.0283185551138745,0.27739078,19.589651,19.899559,19.111895,0.7876644,,,1.0654224,37.84258489586355,-4.587108046171722,-8.014106935434238,-2.914953485871724
1564346802826872704,196.8407823190281,55.09544976971207,0.2691986748034548,0.624488,-8.434909255735889,0.5379041,-5.006158538191416,0.61699444,20.403566,20.702372,19.927023,0.77534866,,,0.9916618,38.23544468186248,-4.374534187351928,-9.473082881048922,-2.5436230441603565
1564383254214173696,195.9814523879694,55.16050615397145,-0.0676238869043525,0.17080243,-7.445854973239409,0.18057312,-5.260362985252127,0.17769237,18.881868,19.16084,18.432947,0.7278919,,,0.9953151,37.77992632970125,-4.176345292929882,-8.628044431281122,-2.944320687520895
1575509659052462464,180.08547297572426,57.43911531310434,0.2361637536590864,0.2765658,-6.146221963612942,0.24397261,-9.298062280121858,0.26568106,19.46533,19.787657,19.05325,0.7344074,,,1.0115595,30.57297812663053,1.363386194287607,-9.956914549851628,-5.008977863594127
1564376519705806336,196.1904850292429,54.97206599219931,-0.0526768785212669,0.10928026,-9.398280727853262,0.098425336,-3.698560010596196,0.1090859,18.145891,18.409155,17.754326,0.654829,,,1.0860945,37.84205928335245,-4.390817310003877,-10.057336069863856,-0.9257526501905516
1564975444305413120,197.0775659793628,56.93586116062607,0.438780507503666,0.1341379,-6.968702788875239,0.12827589,-7.641530475092527,0.14215086,18.617163,18.915386,18.19381,0.7215767,,,1.0226468,38.857235789414766,-2.636871524572554,-8.7501494398347,-5.512775284918277
1571108661900110464,188.9645735897209,55.06744683163656,-0.0726566970322958,0.38749397,-6.922697736471986,0.3220714,-5.680790464125539,0.39943525,20.039467,20.302952,19.48951,0.81344223,,,0.98253214,33.95788228773112,-2.931289058908555,-8.564840068009122,-2.6150791302137515
1571122680673867776,188.7310553884434,55.4370274837942,-0.0434805142403984,0.293714,-6.49818107391352,0.2999306,-5.352473920768125,0.3134405,19.587072,19.854,19.09839,0.7556095,,,1.0726359,33.97629459697765,-2.5389040402613494,-8.055459005696951,-2.446408500109235
1575633732067423744,180.7612312920464,58.04178174623683,0.5403602407005369,0.38394058,-6.052882393843493,0.42010215,-5.295369067194954,0.39881542,20.20305,20.42802,19.525778,0.90224266,,,1.0062808,31.18419961267089,1.7097539979379648,-7.869240677884405,-1.659328172796171
1565149338940824448,202.7602430551712,55.37191072237947,0.3808882298653175,0.47514686,-7.9321399326657,0.47040918,-3.437723817052333,0.49384582,20.312757,20.715487,19.898933,0.8165531,,,1.0371572,41.59565457831036,-4.870074959825373,-8.426610334648503,-1.931068932408604
1563819617066752512,199.75191269728973,55.16008113535754,-0.473210941902643,0.54013777,-7.90494611417239,0.44468167,-1.9744163005235609,0.60203046,20.44994,20.76954,19.909256,0.8602848,,,0.9903013,39.86868317771662,-4.725880645539886,-8.146823935293822,-0.1255092150641139
1564837906568924032,196.6388858667908,56.29801249875621,0.1917889407185152,0.2387718,-11.578808254234422,0.21011725,-6.232927251543612,0.25807256,19.33924,19.64652,18.978678,0.66784286,,,1.0013772,38.45252399346528,-3.186180973952556,-12.839026248170612,-2.84210972873114
1564221626007102848,196.29208352198185,54.532497222029086,0.3605125453072815,0.43107408,-6.766547874772803,0.48483402,-7.539812389225871,0.498562,20.160305,20.421354,19.582502,0.8388519,,,1.0689695,37.77564101174389,-4.82930976977153,-8.596240472221524,-5.360931891943504
1564642189202669824,198.96610101134448,56.0132243075461,0.8939445102617578,0.827529,-9.096237968119128,0.7930445,-6.197032107863567,0.9400558,20.68434,20.888023,19.879934,1.0080891,,,0.96077186,39.63493575503641,-3.792756042951623,-10.31232902046899,-3.8471576900534026
1565970094307222784,201.00869898069087,57.70456497381841,0.11725578047357,0.09413164,-10.862295345785451,0.09138146,-6.7129550090351975,0.096870154,18.059635,18.28717,17.69163,0.595541,,,1.0107125,41.10337811901189,-2.39386982970109,-12.021911489721251,-4.304284988904802
1565985689333375232,200.9826535773044,58.11743530711004,-0.1298771467838405,0.114733696,-7.863956384411944,0.12769778,-1.870862587459957,0.12014253,18.318346,18.52521,17.893179,0.6320305,,,1.0359485,41.17592713763359,-1.987178671049181,-8.081206326484843,-0.1898450575392989
1564811380850533504,196.03919474634924,55.91994813834987,0.1386952466990413,0.3892785,-7.3584038386369155,0.38071075,-5.836556786847899,0.43836975,19.996058,20.264828,19.49022,0.7746086,,,1.1030613,38.02581224593296,-3.4568814082929724,-8.702879757988425,-3.531484970456773
